driverId,name,ssn,location,certified,wage-plan
10,Michelle Jackson,616-55-4407,"90964 Carmen Camp Apt. 289
Hendrixside, TX 81245",N,miles
11,Sarah Peterson,008-10-4132,"67728 Michael Street
Jonland, FM 06524",N,hours
12,Stephen Hall,278-98-0109,"626 Moran Fort
Jonesview, IL 15230",Y,miles
13,Laura Scott,775-41-0433,"024 Aaron Summit Apt. 778
Smithside, KS 57183",Y,miles
14,Kara Morris,105-40-7201,"730 Jennifer Village
West Jeffreychester, IA 38265",N,hours
15,Keith Diaz,626-34-4190,"17673 Howell Burg Suite 410
Nicoleborough, NC 09571",Y,miles
16,Michael Neal,560-43-3672,"49803 Jones Isle Apt. 089
Cindyside, MH 15080",N,miles
17,Michael Winters,236-90-4829,"567 Smith Islands
Thompsonchester, ME 86018",N,miles
18,Sarah Smith,667-30-0568,"670 Merritt Prairie Suite 345
West Davidbury, FM 05958",Y,miles
19,Felicia Duncan,647-59-0273,"USNV Hogan
FPO AA 92631",N,hours
20,Eric White,881-97-2345,"PSC 2648, Box 0333
APO AA 62010",Y,miles
21,Christina Hale,262-16-7784,"698 Rachel Grove Suite 799
Jeffreychester, FL 64734",Y,miles
22,Lisa Cantu,742-36-0873,"9826 Christopher Tunnel
Ryanmouth, DE 02725",Y,miles
23,Mike Woods,411-04-0048,"0585 Luis Mill Suite 710
North Briannaburgh, IN 49772",Y,hours
24,Craig Garcia,863-45-4893,"88210 Burch Fort Suite 759
Codyhaven, DC 36312",Y,miles
25,Kristina Peterson,631-85-1905,"PSC 5697, Box 7712
APO AP 74306",Y,miles
26,Courtney Mcdonald,462-95-5505,"731 Lambert Junction
South Katelyn, TN 33650",Y,hours
27,Richard Norris,098-51-5520,"USS Baker
FPO AA 17353",N,hours
28,Gina Williams,233-22-6935,"179 Katherine Glen
Sarahchester, PW 95124",Y,hours
29,John Burke,583-03-8496,"369 Robertson Overpass Apt. 735
Conwayport, MN 33433",Y,miles
30,Jonathan Harmon,277-04-8290,"669 Derrick Stravenue Suite 880
Rickeyborough, DC 57954",N,hours
